week,active_partners,active_non_partners,bookers_partners,bookers_non_partners,bookings_flights,bookings_hotels,bookings_cars,bookings_cruises,take_usd_flights,take_usd_hotels,take_usd_cars,take_usd_cruises,bookings_total,take_usd_total,new_accounts_partners,new_accounts_non_partners,churn_rate_partners,churn_rate_non_partners,churned_partners,churned_non_partners,churned_total
11,82561.76942112551,69178.55326751614,82561.76942112551,69178.55326751614,17306.217051735926,4006.151293738127,1414.1862751989936,205.84056367765578,86531.08525867964,176270.6569244776,7070.931375994968,45284.92400908427,22932.395184350702,315157.59756823647,915.75,1700.67,0.00238,0.00307,191.72660289579252,200.9503652091964,392.67696810498893
12,82376.98520731246,68990.48360116899,82376.98520731246,68990.48360116899,17267.483437686653,3996.2472750226398,1410.7833525897843,205.3082737260137,86337.41718843326,175834.88010099615,7053.916762948921,45167.82021972301,22879.82233902509,314394.03427210136,915.75,1700.67,0.00238,0.00307,191.27029358090053,200.3334475880042,391.6037411689047
13,82190.41641248803,68798.87947199155,82190.41641248803,68798.87947199155,17228.3757480023,3986.1991350609833,1407.3352743540659,204.76714246981007,86141.87874001151,175392.76194268325,7036.676371770329,45048.77134335822,22826.67729988716,313620.08839782333,915.75,1700.67,0.00238,0.00307,190.81507028217797,199.718423903909,390.53349418608695
14,81995.85068390484,68592.19407942244,81995.85068390484,68592.19407942244,17187.59177797236,3975.526528836261,1403.6902642985779,204.18802291113667,85937.9588898618,174923.16726879549,7018.451321492889,44921.365040450066,22770.996594018336,312800.9425206002,967.15,1796.15,0.00238,0.00307,190.39251493792904,199.18095051590652,389.5734654538355
15,81861.48451528537,68497.08360423458,81861.48451528537,68497.08360423458,17159.426561857894,3969.4996655806035,1401.5137429831825,203.89066364079784,85797.13280928947,174657.98528554654,7007.568714915913,44855.94600097553,22734.330634062477,312318.63281072746,1035.7,1923.43,0.00238,0.00307,189.9946534027934,198.70187482623408,388.6965282290275
16,81768.52307834767,68478.56476484168,81768.52307834767,68478.56476484168,17139.9404144998,3966.6639110270125,1400.3461722093155,203.78677653590603,85699.702072499,174533.21208518854,7001.730861046577,44833.090837899326,22710.737274272036,312067.73585663346,1035.7,1923.43,0.00238,0.00307,189.5977387781114,198.22426989892892,387.82200867704034
17,81624.1924443567,68364.40481941696,81624.1924443567,68364.40481941696,17109.686493144,3959.8516710208123,1397.9224234251083,203.44152748620516,85548.43246571999,174233.47352491575,6989.612117125542,44757.13604696513,22670.902115076125,311528.6541547264,1035.7,1923.43,0.00238,0.00307,189.20176881023613,197.74813121875061,386.94990002898675
18,81474.94859114681,68240.86245682064,81474.94859114681,68240.86245682064,17078.40268545193,3952.652475021151,1395.3768474656015,203.07268759090323,85392.01342725965,173916.70890093065,6976.884237328008,44675.99126999871,22629.504695529584,310961.597835517,1014.88,1884.78,0.00238,0.00307,188.80618183898423,197.27211427816107,386.0782961171453
19,81302.36245928856,68073.72785655284,81302.36245928856,68073.72785655284,17042.22597704318,3943.6426113054313,1392.2595120493409,202.59388646108553,85211.12988521591,173520.27489743897,6961.297560246704,44570.65502143882,22580.72198685904,310263.3573643404,889.98,1652.83,0.00238,0.00307,188.408180423069,196.7895173059669,385.1976977290359
20,81016.84454987527,67696.60180997265,81016.84454987527,67696.60180997265,16982.37703064693,3925.8983019763173,1386.3824782247616,201.58504687697058,84911.88515323465,172739.52528695797,6931.9123911238075,44348.71031293353,22496.24285772498,308932.03314424993,889.98,1652.83,0.00238,0.00307,188.01112625052366,196.3084019064774,384.31952815700106
