week,presence_weight_Wk
0,1.0
1,0.29926239400415855
2,0.23805378093149887
3,0.20827157318640432
4,0.18605482294676823
5,0.17583657287680288
6,0.1640508301202529
7,0.15579990130535293
8,0.14520236707030565
9,0.13917784195449523
10,0.13496567648099178
11,0.12457325868335156
12,0.09235975009240172
