Month,New Accounts (people that actually created an account and logged in at least once)
2024-8,13202
2024-9,11871
2024-10,11587
2024-11,12682
2024-12,11261
2025-1,13305
2025-2,13773
2025-3,18047
2025-4,16537
2025-5,15790
2025-6,14273
2025-7,15186
