Month,Churned Members (users that have not logged in for 12 months)
2024-8,-8478
2024-9,-8378
2024-10,-9371
2024-11,-8688
2024-12,-7190
2025-1,-9366
2025-2,-8693
2025-3,-10221
2025-4,-9282
2025-5,-11048
2025-6,-10848
2025-7,-10399
